glyph name;code points;category;subcategory
gcircumflex;U+011D
gcommaaccent;U+0123
gdotaccent;U+0121
germandbls;U+00DF
grave;U+0060
gravecomb;U+0300;Mark;Nonspacing
gravecomb.case;;Mark;Nonspacing
greater;U+003E
guillemetleft;U+00AB
guillemetright;U+00BB
guilsinglleft;U+2039
guilsinglright;U+203A
h;U+0068
hbar;U+0127
hcircumflex;U+0125
hinferior;U+2095
hungarumlaut;U+02DD
hungarumlautcomb;U+030B;Mark;Nonspacing
hungarumlautcomb.case;;Mark;Nonspacing
hyphen;U+002D
i;U+0069
iacute;U+00ED
ibreve;U+012D
icircumflex;U+00EE
idieresis;U+00EF
idotaccent;
idotless;U+0131
igrave;U+00EC
ij;U+0133
imacron;U+012B
infinity;U+221E
integral;U+222B
iogonek;U+012F
itilde;U+0129
j;U+006A
jcircumflex;U+0135
jdotless;U+0237
k;U+006B
kcommaaccent;U+0137
kinferior;U+2096
l;U+006C
lacute;U+013A
lcaron;U+013E
lcommaaccent;U+013C
ldot;U+0140
leftArrow;U+2190
leftArrow.ss01;
leftArrow.ss02;
leftArrow.ss03;
leftArrow.ss04;
less;U+003C
lineseparator;U+2028
linferior;U+2097
longs;U+017F
lslash;U+0142
m;U+006D
macron;U+00AF
macroncomb;U+0304;Mark;Nonspacing
macroncomb.case;;Mark;Nonspacing
macroncomb.case.i;;Mark;Nonspacing
macroncomb.i;;Mark;Nonspacing
minferior;U+2098
minus;U+2212
mu;U+03BC
multiply;U+00D7
n;U+006E
nacute;U+0144
nbspace;U+00A0
ncaron;U+0148
ncommaaccent;U+0146
nine;U+0039
nineinferior;U+2089
ninesuperior;U+2079
ninferior;U+2099
ntilde;U+00F1
numbersign;U+0023
numero;U+2116
o;U+006F
oacute;U+00F3
obreve;U+014F
ocircumflex;U+00F4
odieresis;U+00F6
oe;U+0153
ogonek;U+02DB
ogonekcomb;U+0328;Mark;Nonspacing
ograve;U+00F2
ohungarumlaut;U+0151
oinferior;U+2092
omacron;U+014D
one;U+0031
oneinferior;U+2081
onesuperior;U+00B9
ordfeminine;U+00AA
ordmasculine;U+00BA
oslash;U+00F8
otilde;U+00F5
p;U+0070
paragraph;U+00B6
paragraphseparator;U+2029
parenleft;U+0028
parenleftinferior;U+208D
parenleftsuperior;U+207D
parenright;U+0029
parenrightinferior;U+208E
parenrightsuperior;U+207E
percent;U+0025
period;U+002E
periodcentered;U+00B7
periodcentered.loclCAT;
periodcentered.loclCAT.case;
pinferior;U+209A
plus;U+002B
plusinferior;U+208A
plussuperior;U+207A
q;U+0071
q.ss01;
question;U+003F
questiondown;U+00BF
questionexclamation;U+2048
quotedbl;U+0022
quotedblbase;U+201E
quotedblleft;U+201C
quotedblright;U+201D
quoteleft;U+2018
quoteright;U+2019
quotesinglbase;U+201A
quotesingle;U+0027
r;U+0072
racute;U+0155
rcaron;U+0159
rcommaaccent;U+0157
registered;U+00AE
reversedRotatedFloralHeartBullet;U+2619
rightArrow;U+2192
rightArrow.ss01;
rightArrow.ss02;
rightArrow.ss03;
rightArrow.ss04;
ring;U+02DA
ringcomb;U+030A;Mark;Nonspacing
ringcomb.case;;Mark;Nonspacing
rotatedFloralHeartBullet;U+2767
s;U+0073
sacute;U+015B
scaron;U+0161
scedilla;U+015F
scircumflex;U+015D
scommaaccent;U+0219
section;U+00A7
semicolon;U+003B
seven;U+0037
seveninferior;U+2087
sevensuperior;U+2077
sinferior;U+209B
six;U+0036
sixinferior;U+2086
sixsuperior;U+2076
slash;U+002F
space;U+0020
sterling;U+00A3
strokeshortcomb;U+0335;Mark;Nonspacing
t;U+0074
tcaron;U+0165
tcedilla;U+0163
tcommaaccent;U+021B
thorn;U+00FE
three;U+0033
threeinferior;U+2083
threesuperior;U+00B3
tilde;U+02DC
tildecomb;U+0303;Mark;Nonspacing
tildecomb.case;;Mark;Nonspacing
tildecomb.case.i;;Mark;Nonspacing
tildecomb.i;;Mark;Nonspacing
tinferior;U+209C
trademark;U+2122
tripleIntegral;U+222D
two;U+0032
twodotenleader;U+2025
twoinferior;U+2082
twosuperior;U+00B2
u;U+0075
uacute;U+00FA
ubreve;U+016D
ucircumflex;U+00FB
udieresis;U+00FC
ugrave;U+00F9
uhungarumlaut;U+0171
umacron;U+016B
underscore;U+005F
uogonek;U+0173
uring;U+016F
utilde;U+0169
v;U+0076
w;U+0077
wacute;U+1E83
wcircumflex;U+0175
wdieresis;U+1E85
wgrave;U+1E81
x;U+0078
xinferior;U+2093
y;U+0079
yacute;U+00FD
ycircumflex;U+0177
ydieresis;U+00FF
yen;U+00A5
ygrave;U+1EF3
z;U+007A
zacute;U+017A
zcaron;U+017E
zdotaccent;U+017C
zero;U+0030
zeroinferior;U+2080
zerosuperior;U+2070
